player_name,total_runs,balls_faced,dismissals,strike_rate,total_wickets,runs_conceded,balls_bowled,overs_bowled,economy_rate,player_ID,runs_per_dismissal,balls_per_run,cluster_id,improvement_plan
A Tomar,4.0,8.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,Player_018,4.0,2.0,3,"Work on basic batting techniques, increasing run accumulation, and boosting confidence with more match practice."
A Uniyal,4.0,7.0,1.0,57.14285714285714,3.0,67.0,38.0,6.333333333333333,10.578947368421051,Player_019,4.0,1.75,3,"Work on basic batting techniques, increasing run accumulation, and boosting confidence with more match practice."
A Zampa,5.0,8.0,2.0,62.5,21.0,373.0,292.0,48.66666666666666,7.664383561643836,Player_020,2.5,1.6,3,"Work on basic batting techniques, increasing run accumulation, and boosting confidence with more match practice."
AA Bilakhia,69.0,88.0,5.0,78.4090909090909,0.0,0.0,0.0,0.0,0.0,Player_021,13.8,1.2753623188405796,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
AA Chavan,12.0,11.0,1.0,109.09090909090908,8.0,339.0,255.0,42.5,7.976470588235294,Player_022,12.0,0.9166666666666666,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
AA Jhunjhunwala,217.0,218.0,14.0,99.54128440366972,1.0,130.0,88.0,14.666666666666666,8.863636363636363,Player_023,15.5,1.0046082949308757,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
AA Kazi,0.0,0.0,0.0,0.0,1.0,21.0,13.0,2.1666666666666665,9.692307692307692,Player_024,0.0,0.0,3,"Work on basic batting techniques, increasing run accumulation, and boosting confidence with more match practice."
AA Noffke,9.0,12.0,1.0,75.0,1.0,41.0,25.0,4.166666666666667,9.84,Player_025,9.0,1.3333333333333333,3,"Work on basic batting techniques, increasing run accumulation, and boosting confidence with more match practice."
AB Agarkar,179.0,160.0,8.0,111.875,33.0,1174.0,820.0,136.66666666666666,8.590243902439026,Player_026,22.375,0.8938547486033519,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
AB Barath,42.0,43.0,2.0,97.67441860465117,0.0,0.0,0.0,0.0,0.0,Player_027,21.0,1.0238095238095237,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
AB Dinda,26.0,50.0,9.0,52.0,82.0,2103.0,1589.0,264.8333333333333,7.940843297671492,Player_028,2.888888888888889,1.9230769230769231,3,"Work on basic batting techniques, increasing run accumulation, and boosting confidence with more match practice."
AB McDonald,123.0,103.0,5.0,119.41747572815532,14.0,263.0,188.0,31.33333333333333,8.393617021276595,Player_029,24.6,0.8373983739837398,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
AB de Villiers,5181.0,3487.0,125.0,148.58044164037855,0.0,0.0,0.0,0.0,0.0,Player_030,41.448,0.673036093418259,1,Elite performance. Focus on sustaining high-level metrics and advanced skills.
AC Blizzard,120.0,91.0,7.0,131.86813186813183,0.0,0.0,0.0,0.0,0.0,Player_031,17.142857142857142,0.7583333333333333,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
AC Gilchrist,2069.0,1555.0,76.0,133.05466237942122,1.0,0.0,1.0,0.1666666666666666,0.0,Player_032,27.223684210526315,0.7515708071532141,2,Solid mid-level performance. Target improving strike rate and converting starts into big scores.
AC Thomas,20.0,19.0,2.0,105.26315789473684,16.0,416.0,327.0,54.5,7.63302752293578,Player_033,10.0,0.95,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
AC Voges,181.0,143.0,6.0,126.5734265734266,1.0,76.0,56.0,9.333333333333334,8.142857142857142,Player_034,30.166666666666668,0.7900552486187845,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
AD Hales,148.0,119.0,6.0,124.36974789915966,0.0,0.0,0.0,0.0,0.0,Player_035,24.666666666666668,0.8040540540540541,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
AD Mascarenhas,79.0,79.0,10.0,100.0,19.0,365.0,310.0,51.66666666666666,7.064516129032258,Player_036,7.9,1.0,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
AD Mathews,724.0,599.0,31.0,120.86811352253756,28.0,1095.0,807.0,134.5,8.141263940520446,Player_037,23.35483870967742,0.8273480662983426,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
AD Nath,90.0,99.0,10.0,90.9090909090909,0.0,0.0,0.0,0.0,0.0,Player_038,9.0,1.1,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
AD Russell,2039.0,1212.0,66.0,168.23432343234325,99.0,2214.0,1484.0,247.3333333333333,8.951482479784366,Player_039,30.893939393939394,0.594409024031388,2,Solid mid-level performance. Target improving strike rate and converting starts into big scores.
AF Milne,23.0,31.0,5.0,74.19354838709677,9.0,339.0,217.0,36.16666666666666,9.373271889400922,Player_040,4.6,1.3478260869565217,3,"Work on basic batting techniques, increasing run accumulation, and boosting confidence with more match practice."
AG Murtaza,10.0,14.0,1.0,71.42857142857143,12.0,322.0,269.0,44.833333333333336,7.182156133828996,Player_041,10.0,1.4,3,"Work on basic batting techniques, increasing run accumulation, and boosting confidence with more match practice."
AG Paunikar,49.0,61.0,5.0,80.32786885245902,0.0,0.0,0.0,0.0,0.0,Player_042,9.8,1.2448979591836735,3,"Work on basic batting techniques, increasing run accumulation, and boosting confidence with more match practice."
AJ Finch,2092.0,1696.0,84.0,123.34905660377358,1.0,67.0,44.0,7.333333333333333,9.136363636363637,Player_043,24.904761904761905,0.8107074569789675,2,Solid mid-level performance. Target improving strike rate and converting starts into big scores.
AJ Turner,3.0,11.0,3.0,27.27272727272727,0.0,0.0,0.0,0.0,0.0,Player_044,1.0,3.6666666666666665,3,"Work on basic batting techniques, increasing run accumulation, and boosting confidence with more match practice."
AJ Tye,91.0,79.0,8.0,115.18987341772151,48.0,1005.0,714.0,119.0,8.445378151260504,Player_045,11.375,0.8681318681318682,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
AK Markram,527.0,400.0,13.0,131.75,1.0,87.0,61.0,10.166666666666666,8.557377049180328,Player_046,40.53846153846154,0.7590132827324478,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
AL Menaria,401.0,367.0,22.0,109.26430517711172,3.0,144.0,113.0,18.83333333333333,7.646017699115045,Player_047,18.227272727272727,0.9152119700748129,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
AM Nayar,672.0,588.0,39.0,114.28571428571428,9.0,323.0,239.0,39.833333333333336,8.10878661087866,Player_048,17.23076923076923,0.875,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
AM Rahane,4074.0,3465.0,133.0,117.57575757575758,1.0,5.0,6.0,1.0,5.0,Player_049,30.63157894736842,0.8505154639175257,1,Elite performance. Focus on sustaining high-level metrics and advanced skills.
AM Salvi,0.0,0.0,0.0,0.0,7.0,205.0,156.0,26.0,7.884615384615385,Player_050,0.0,0.0,3,"Work on basic batting techniques, increasing run accumulation, and boosting confidence with more match practice."
AN Ahmed,36.0,27.0,1.0,133.33333333333331,15.0,515.0,362.0,60.333333333333336,8.535911602209945,Player_051,36.0,0.75,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
AN Ghosh,7.0,8.0,2.0,87.5,0.0,0.0,0.0,0.0,0.0,Player_052,3.5,1.1428571428571428,3,"Work on basic batting techniques, increasing run accumulation, and boosting confidence with more match practice."
AP Dole,34.0,23.0,2.0,147.82608695652172,5.0,114.0,73.0,12.166666666666666,9.36986301369863,Player_053,17.0,0.6764705882352942,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
AP Majumdar,87.0,77.0,4.0,112.987012987013,0.0,0.0,0.0,0.0,0.0,Player_054,21.75,0.8850574712643678,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
AP Tare,339.0,285.0,24.0,118.94736842105264,0.0,0.0,0.0,0.0,0.0,Player_055,14.125,0.8407079646017699,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
AR Bawne,12.0,12.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,Player_056,12.0,1.0,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
AR Patel,1135.0,919.0,59.0,123.5038084874864,109.0,3140.0,2599.0,433.1666666666667,7.24894190073105,Player_057,19.23728813559322,0.8096916299559471,2,Solid mid-level performance. Target improving strike rate and converting starts into big scores.
AS Joseph,20.0,20.0,1.0,100.0,14.0,358.0,240.0,40.0,8.95,Player_058,20.0,1.0,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
AS Rajpoot,26.0,41.0,4.0,63.41463414634146,24.0,844.0,567.0,94.5,8.931216931216932,Player_059,6.5,1.5769230769230769,3,"Work on basic batting techniques, increasing run accumulation, and boosting confidence with more match practice."
AS Raut,194.0,172.0,11.0,112.7906976744186,0.0,45.0,30.0,5.0,9.0,Player_060,17.636363636363637,0.8865979381443299,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
AS Roy,0.0,2.0,1.0,0.0,2.0,66.0,57.0,9.5,6.947368421052632,Player_061,0.0,2.0,3,"Work on basic batting techniques, increasing run accumulation, and boosting confidence with more match practice."
AS Yadav,49.0,40.0,7.0,122.5,0.0,0.0,0.0,0.0,0.0,Player_062,7.0,0.8163265306122449,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
AT Carey,32.0,29.0,2.0,110.34482758620688,0.0,0.0,0.0,0.0,0.0,Player_063,16.0,0.90625,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
AT Rayudu,4190.0,3375.0,142.0,124.14814814814814,0.0,0.0,0.0,0.0,0.0,Player_064,29.507042253521128,0.8054892601431981,1,Elite performance. Focus on sustaining high-level metrics and advanced skills.
AU Rashid,0.0,0.0,0.0,0.0,0.0,35.0,18.0,3.0,11.666666666666666,Player_065,0.0,0.0,3,"Work on basic batting techniques, increasing run accumulation, and boosting confidence with more match practice."
AUK Pathan,39.0,26.0,5.0,150.0,0.0,63.0,41.0,6.833333333333333,9.219512195121952,Player_066,7.8,0.6666666666666666,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
Abdul Samad,228.0,164.0,17.0,139.02439024390242,2.0,113.0,55.0,9.166666666666666,12.327272727272728,Player_067,13.411764705882353,0.7192982456140351,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
Abdur Razzak,0.0,2.0,0.0,0.0,0.0,29.0,14.0,2.333333333333333,12.428571428571429,Player_068,0.0,2.0,3,"Work on basic batting techniques, increasing run accumulation, and boosting confidence with more match practice."
Abhishek Sharma,667.0,511.0,29.0,130.52837573385517,7.0,218.0,161.0,26.83333333333333,8.124223602484472,Player_069,23.0,0.7661169415292354,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
Akash Deep,0.0,2.0,1.0,0.0,6.0,206.0,119.0,19.83333333333333,10.38655462184874,Player_070,0.0,2.0,3,"Work on basic batting techniques, increasing run accumulation, and boosting confidence with more match practice."
Akash Singh,0.0,0.0,0.0,0.0,0.0,39.0,24.0,4.0,9.75,Player_071,0.0,0.0,3,"Work on basic batting techniques, increasing run accumulation, and boosting confidence with more match practice."
Aman Hakim Khan,5.0,3.0,1.0,166.66666666666669,0.0,13.0,6.0,1.0,13.0,Player_072,5.0,0.6,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
Anand Rajan,0.0,0.0,0.0,0.0,10.0,206.0,162.0,27.0,7.62962962962963,Player_073,0.0,0.0,3,"Work on basic batting techniques, increasing run accumulation, and boosting confidence with more match practice."
Anirudh Singh,63.0,69.0,4.0,91.30434782608695,0.0,0.0,0.0,0.0,0.0,Player_074,15.75,1.0952380952380953,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
Ankit Sharma,87.0,69.0,7.0,126.08695652173914,12.0,453.0,375.0,62.5,7.248,Player_075,12.428571428571429,0.7931034482758621,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
Ankit Soni,7.0,9.0,2.0,77.77777777777779,4.0,145.0,112.0,18.666666666666668,7.767857142857142,Player_076,3.5,1.2857142857142858,3,"Work on basic batting techniques, increasing run accumulation, and boosting confidence with more match practice."
Anmolpreet Singh,29.0,27.0,3.0,107.40740740740742,0.0,0.0,0.0,0.0,0.0,Player_077,9.666666666666666,0.9310344827586207,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
Anuj Rawat,129.0,124.0,8.0,104.03225806451611,0.0,0.0,0.0,0.0,0.0,Player_078,16.125,0.9612403100775194,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
Anureet Singh,36.0,47.0,4.0,76.59574468085107,21.0,636.0,430.0,71.66666666666667,8.874418604651162,Player_079,9.0,1.3055555555555556,3,"Work on basic batting techniques, increasing run accumulation, and boosting confidence with more match practice."
Arshdeep Singh,23.0,36.0,4.0,63.888888888888886,46.0,1086.0,803.0,133.83333333333334,8.114570361145702,Player_080,5.75,1.565217391304348,3,"Work on basic batting techniques, increasing run accumulation, and boosting confidence with more match practice."
Avesh Khan,31.0,19.0,1.0,163.1578947368421,51.0,1190.0,868.0,144.66666666666666,8.225806451612904,Player_081,31.0,0.6129032258064516,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
Azhar Mahmood,388.0,311.0,19.0,124.7588424437299,31.0,707.0,552.0,92.0,7.684782608695652,Player_082,20.42105263157895,0.8015463917525774,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
B Akhil,76.0,57.0,7.0,133.33333333333331,7.0,246.0,193.0,32.166666666666664,7.647668393782384,Player_083,10.857142857142858,0.75,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
B Chipli,280.0,256.0,16.0,109.375,0.0,20.0,6.0,1.0,20.0,Player_084,17.5,0.9142857142857143,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
B Geeves,0.0,0.0,0.0,0.0,2.0,91.0,49.0,8.166666666666666,11.142857142857144,Player_085,0.0,0.0,3,"Work on basic batting techniques, increasing run accumulation, and boosting confidence with more match practice."
B Indrajith,21.0,31.0,3.0,67.74193548387096,0.0,0.0,0.0,0.0,0.0,Player_086,7.0,1.4761904761904763,3,"Work on basic batting techniques, increasing run accumulation, and boosting confidence with more match practice."
B Kumar,241.0,259.0,28.0,93.05019305019306,165.0,4064.0,3384.0,564.0,7.205673758865248,Player_087,8.607142857142858,1.0746887966804979,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
B Laughlin,5.0,13.0,2.0,38.46153846153847,10.0,284.0,179.0,29.83333333333333,9.5195530726257,Player_088,2.5,2.6,3,"Work on basic batting techniques, increasing run accumulation, and boosting confidence with more match practice."
B Lee,124.0,102.0,10.0,121.5686274509804,30.0,1126.0,916.0,152.66666666666666,7.375545851528384,Player_089,12.4,0.8225806451612904,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
B Sai Sudharsan,145.0,118.0,4.0,122.8813559322034,0.0,0.0,0.0,0.0,0.0,Player_090,36.25,0.8137931034482758,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
B Stanlake,5.0,2.0,0.0,250.0,7.0,200.0,150.0,25.0,8.0,Player_091,5.0,0.4,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
B Sumanth,35.0,38.0,1.0,92.10526315789474,0.0,0.0,0.0,0.0,0.0,Player_092,35.0,1.0857142857142856,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
BA Bhatt,6.0,7.0,0.0,85.71428571428571,13.0,408.0,303.0,50.5,8.07920792079208,Player_093,6.0,1.1666666666666667,3,"Work on basic batting techniques, increasing run accumulation, and boosting confidence with more match practice."
BA Stokes,920.0,703.0,39.0,130.86770981507823,31.0,1005.0,717.0,119.5,8.410041841004183,Player_094,23.58974358974359,0.7641304347826087,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
BAW Mendis,3.0,6.0,2.0,50.0,9.0,306.0,248.0,41.333333333333336,7.403225806451612,Player_095,1.5,2.0,3,"Work on basic batting techniques, increasing run accumulation, and boosting confidence with more match practice."
BB McCullum,2882.0,2272.0,106.0,126.84859154929578,0.0,0.0,0.0,0.0,0.0,Player_096,27.18867924528302,0.7883414295628036,2,Solid mid-level performance. Target improving strike rate and converting starts into big scores.
BB Samantray,125.0,116.0,5.0,107.7586206896552,0.0,0.0,0.0,0.0,0.0,Player_097,25.0,0.928,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
BB Sran,10.0,14.0,1.0,71.42857142857143,20.0,767.0,516.0,86.0,8.918604651162791,Player_098,10.0,1.4,3,"Work on basic batting techniques, increasing run accumulation, and boosting confidence with more match practice."
BCJ Cutting,238.0,146.0,11.0,163.013698630137,12.0,430.0,288.0,48.0,8.958333333333334,Player_099,21.636363636363637,0.6134453781512605,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
BE Hendricks,1.0,3.0,1.0,33.33333333333333,11.0,239.0,157.0,26.166666666666668,9.13375796178344,Player_100,1.0,3.0,3,"Work on basic batting techniques, increasing run accumulation, and boosting confidence with more match practice."
BJ Haddin,18.0,11.0,1.0,163.63636363636363,0.0,0.0,0.0,0.0,0.0,Player_101,18.0,0.6111111111111112,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
BJ Hodge,1400.0,1153.0,46.0,121.42237640936686,18.0,310.0,238.0,39.66666666666666,7.815126050420169,Player_102,30.434782608695652,0.8235714285714286,2,Solid mid-level performance. Target improving strike rate and converting starts into big scores.
BJ Rohrer,193.0,146.0,7.0,132.1917808219178,0.0,12.0,7.0,1.1666666666666667,10.285714285714285,Player_103,27.571428571428573,0.7564766839378239,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
BMAJ Mendis,23.0,27.0,3.0,85.18518518518519,1.0,36.0,30.0,5.0,7.2,Player_104,7.666666666666667,1.173913043478261,3,"Work on basic batting techniques, increasing run accumulation, and boosting confidence with more match practice."
BR Dunk,40.0,36.0,3.0,111.11111111111111,0.0,0.0,0.0,0.0,0.0,Player_105,13.333333333333334,0.9,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
BW Hilfenhaus,0.0,0.0,0.0,0.0,23.0,497.0,390.0,65.0,7.6461538461538465,Player_106,0.0,0.0,3,"Work on basic batting techniques, increasing run accumulation, and boosting confidence with more match practice."
Basil Thampi,32.0,37.0,2.0,86.48648648648648,26.0,862.0,539.0,89.83333333333333,9.595547309833025,Player_107,16.0,1.15625,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
Bipul Sharma,187.0,124.0,6.0,150.80645161290323,22.0,581.0,436.0,72.66666666666667,7.995412844036696,Player_108,31.166666666666668,0.6631016042780749,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
C Ganapathy,0.0,0.0,0.0,0.0,0.0,13.0,6.0,1.0,13.0,Player_109,0.0,0.0,3,"Work on basic batting techniques, increasing run accumulation, and boosting confidence with more match practice."
C Madan,15.0,21.0,1.0,71.42857142857143,0.0,0.0,0.0,0.0,0.0,Player_110,15.0,1.4,3,"Work on basic batting techniques, increasing run accumulation, and boosting confidence with more match practice."
C Munro,177.0,144.0,9.0,122.91666666666669,0.0,15.0,12.0,2.0,7.5,Player_111,19.666666666666668,0.8135593220338984,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
C Nanda,0.0,1.0,1.0,0.0,2.0,58.0,50.0,8.333333333333334,6.959999999999999,Player_112,0.0,1.0,3,"Work on basic batting techniques, increasing run accumulation, and boosting confidence with more match practice."
C Sakariya,16.0,25.0,4.0,64.0,17.0,521.0,405.0,67.5,7.718518518518518,Player_113,4.0,1.5625,3,"Work on basic batting techniques, increasing run accumulation, and boosting confidence with more match practice."
C de Grandhomme,303.0,229.0,15.0,132.31441048034935,7.0,323.0,230.0,38.333333333333336,8.426086956521738,Player_114,20.2,0.7557755775577558,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
CA Ingram,205.0,183.0,12.0,112.02185792349728,0.0,0.0,0.0,0.0,0.0,Player_115,17.083333333333332,0.8926829268292683,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
CA Lynn,1329.0,974.0,39.0,136.4476386036961,0.0,0.0,0.0,0.0,0.0,Player_116,34.07692307692308,0.7328818660647103,2,Solid mid-level performance. Target improving strike rate and converting starts into big scores.
CA Pujara,390.0,403.0,18.0,96.7741935483871,0.0,0.0,0.0,0.0,0.0,Player_117,21.666666666666668,1.0333333333333334,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
CH Gayle,4997.0,3516.0,128.0,142.1217292377702,19.0,755.0,584.0,97.33333333333331,7.756849315068494,Player_118,39.0390625,0.7036221733039824,1,Elite performance. Focus on sustaining high-level metrics and advanced skills.
CH Morris,618.0,413.0,29.0,149.636803874092,107.0,2377.0,1801.0,300.1666666666667,7.91893392559689,Player_119,21.310344827586206,0.6682847896440129,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
CJ Anderson,538.0,436.0,22.0,123.39449541284404,14.0,525.0,315.0,52.5,10.0,Player_120,24.454545454545453,0.8104089219330854,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
CJ Dala,0.0,0.0,0.0,0.0,0.0,34.0,19.0,3.1666666666666665,10.736842105263158,Player_121,0.0,0.0,3,"Work on basic batting techniques, increasing run accumulation, and boosting confidence with more match practice."
CJ Ferguson,98.0,119.0,6.0,82.35294117647058,0.0,0.0,0.0,0.0,0.0,Player_122,16.333333333333332,1.2142857142857142,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
CJ Green,0.0,0.0,0.0,0.0,0.0,24.0,17.0,2.833333333333333,8.470588235294118,Player_123,0.0,0.0,3,"Work on basic batting techniques, increasing run accumulation, and boosting confidence with more match practice."
CJ Jordan,75.0,68.0,7.0,110.29411764705884,33.0,870.0,577.0,96.16666666666669,9.04679376083189,Player_124,10.714285714285714,0.9066666666666666,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
CJ McKay,8.0,15.0,1.0,53.333333333333336,1.0,60.0,42.0,7.0,8.571428571428571,Player_125,8.0,1.875,3,"Work on basic batting techniques, increasing run accumulation, and boosting confidence with more match practice."
CK Kapugedera,16.0,24.0,3.0,66.66666666666666,0.0,49.0,17.0,2.833333333333333,17.294117647058822,Player_126,5.333333333333333,1.5,3,"Work on basic batting techniques, increasing run accumulation, and boosting confidence with more match practice."
CK Langeveldt,8.0,9.0,2.0,88.88888888888889,13.0,199.0,165.0,27.5,7.236363636363636,Player_127,4.0,1.125,3,"Work on basic batting techniques, increasing run accumulation, and boosting confidence with more match practice."
CL White,971.0,774.0,35.0,125.45219638242897,1.0,86.0,46.0,7.666666666666667,11.217391304347826,Player_128,27.742857142857144,0.7971163748712667,2,Solid mid-level performance. Target improving strike rate and converting starts into big scores.
CM Gautam,169.0,158.0,9.0,106.9620253164557,0.0,0.0,0.0,0.0,0.0,Player_129,18.77777777777778,0.9349112426035503,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
CR Brathwaite,181.0,120.0,14.0,150.83333333333334,16.0,384.0,266.0,44.333333333333336,8.661654135338345,Player_130,12.928571428571429,0.6629834254143646,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
CR Woakes,78.0,77.0,5.0,101.29870129870127,31.0,674.0,463.0,77.16666666666667,8.734341252699783,Player_131,15.6,0.9871794871794872,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
CRD Fernando,4.0,3.0,1.0,133.33333333333331,19.0,306.0,249.0,41.5,7.373493975903615,Player_132,4.0,0.75,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
CV Varun,24.0,38.0,2.0,63.1578947368421,44.0,1186.0,992.0,165.33333333333334,7.173387096774193,Player_133,12.0,1.5833333333333333,3,"Work on basic batting techniques, increasing run accumulation, and boosting confidence with more match practice."
D Brevis,161.0,116.0,7.0,138.79310344827587,1.0,8.0,3.0,0.5,16.0,Player_134,23.0,0.7204968944099379,0,Focus on maintaining strike rate and improving consistency. Training on aggressive play can help.
